ean;categoria;subcategoria;producto;id;precio;precio_oferta;precio_con_envio;precio_con_envio_e_instalacion;vendedor;oferta;coste_envio;coste_instalacion;rating_avg;rating_count;stock;tiempo_entrega;marketplace
4242006319250;Large Appliances;;Balay 3VF6330SA Integrated Dishwasher, 14 Service, Extra Quiet Motor, Third Cutlery Basket, InfoLight, Home Connect, White;B0F5Q6HTF6;472;472.99;472.99;;;;;;4.7;7;InStock;Monday, 15 December;amazon
8720689018531;;;"Protmex Brushless Cordless Impact Wrench,2x4.0Ah 21V Impact Gun Batteries,Max Torque 1200N.m,1/2"" Impact Wrench with 1 Screwdriver, For Family Car/Truck/Lawn Mower";B0D2KWW5DQ;109.99;104.49;104.49;;PROTMEX EU 2;-5%;;;4.3;1324;InStock;Thursday, 11 December;amazon
8806095984384;;;Samsung A366B Galaxy A36 5G 256GB Lavendel Android-15 4905mAh 50MP AMOLED USB-C;B0F388LMZ1;317.25;269.1;269.1;;BULLASTEC;-15%;;;4.1;23;InStock;Wednesday, 10 December;amazon
6932554402433;;;"XIAOMI Redmi Note 14 Pro 5G - 12+512GB Smartphone, 6.67"" AMOLED FHD+ 120Hz Display, MediaTek Dimensity 7300-Ultra, 200MP Camera, TurboCharge 45W, Charger Not Included, Green (ES Version)";B0DRCPD3ZW;274;274.0;274.0;;jierui YJ;;;;4.4;304;InStock;10 - 12 December;amazon
4242005361557;Large Appliances;;Bosch Induction Hob, 60 cm, Series 6, CombiInduction and Zone 28 cm, Electronics DirectSelect, PerfectFry, Home Connect, Black, PVJ631HC1E;B0CZ3X48PX;492.15;397.37;397.37;;;-19%;;;4.3;546;InStock;Thursday, 11 December;amazon
5099206111271;;;Logitech Pebble Keys 2 K380s Multi-Device Bluetooth Keyboard, Shortcut, Stylized and Portable, Easy-Switch, Windows, macOS, iPadOS, Android, ChromeOS, Layout QWERTY Spain, Pink;B07W5JJP7Y;36;36.99;36.99;;;;;;4.6;1903;InStock;5 - 8 January;amazon
1200130016493;;;JBL Tune Beam 2 Wireless Headphones with Noise Cancelling and Bluetooth, Up to 48 Hours of Battery Life, IP54 Water and Dust Resistant, Multi-point Connection and Ergonomic Design, Turquoise;B0DK3V1WJW;99.99;79.99;79.99;;;-20%;;;4.4;2608;InStock;Friday, 12 December;amazon
45496453435;;;Nintendo Switch (versión OLED) Blanca;B098RJXBTY;318.82;299.0;299.0;;;-6%;;;4.7;15113;InStock;Wednesday, 10 December;amazon
8806095490823;;;"SAMSUNG Crystal UHD TV 2024 55DU7105 55"" Crystal UHD Smart TV with Pure Colors with PurColor, the Best Smart TV, All Speakers at Once with Q-Symphony and Control Your Home with SmartThings";B0D2LHQGZ4;349;;;;;;;;4.2;569;InStock;;amazon
8806084707611;;;LG 24MR400-B - Full HD Monitor, 24 Inches, IPS 1000:1, 1920x1080, HDMIx1, AMD FreeSync, E-Rated, No Speaker, Ergonomic Display, Black;B0CKRXP2PG;109;79.0;79.0;;;-28%;;;4.5;1839;InStock;Thursday, 11 December;amazon
6941812732403;Sports & Outdoors;;Xiaomi Watch S4;B0DSGLPKCC;159.99;99.0;99.0;;;-38%;;;4.4;1399;InStock;Wednesday, 10 December;amazon
8432995632003;;;Flex Mattress Cloud Visco 23 135x182;B0C9XL1QMB;597;597.0;597.0;;Duermex;;;;5.0;1;InStock;17 - 22 December;amazon
8000070073593;;;Lavazza Macchina per caff Jolie Evo BIANCO;B0DT1LPSPM;106;106.92;106.92;;Bartolucci S.r.l.;;;;4.6;40;InStock;16 - 18 December;amazon
5099206112353;;;Logitech MX Keys S Wireless Keyboard, Low Profile, Precise Silent Writing, Programmable Keys, Lighting, Bluetooth, USB C Charging, for Windows, Linux, Chrome, Mac, QWERTY Spanish – Grey;B07W6JPM9R;129;103.0;103.0;;;-20%;;;4.5;391;InStock;5 - 8 January;amazon
4242006310004;Large Appliances;;Balay Dishwasher, Free Installation, 60 cm, Third Cutlery Tray, Extra Silent Motor, Home Connect, White, 3VS5331BP;B0CLGPJRYF;635;464.32;464.32;;TielON – Electrodom. Grandes a pie de calle.;-27%;;;3.7;8;InStock;12 - 15 December;amazon
5099206098947;;;Logitech MX Keys Mini Minimalist Wireless Keyboard, Compact, Bluetooth, Backlit, USB-C, Compatible with Apple macOS, iOS, Windows, Linux, Android, Metal, QWERTY Spanish - Dark Grey;B07W5JKWTF;129;79.99;79.99;;Montearenas;-38%;;;4.7;8991;InStock;Thursday, 11 December;amazon
195949806889;Apple Products;;Apple iPhone 16 Pro Max (512 GB) - Titanio color desierto;B0DGJDVH4K;1419;;;;Amazon Segunda mano;;;;4.5;1292;InStock;Tuesday, 16 December;amazon
8806091636959;;;LG - 32 inch (81 cm) FHD TV, LG Smart TV webOS22, LG TV 32 inch, High Power a5 Gen 5, Compatible with HDR 10, HLG, HGiG, LG 32LQ63006LA;B09RQ4C4KX;199;199.0;199.0;;✅ muyelectro;;;;4.4;3353;InStock;11 - 12 December;amazon
8690842536168;Large Appliances;;Beko FNE1074N – Table Top Freezer, No Frost, Energy Class E, Mechanical, 2 Drawers + 1 Lid, White;B0CP88PNZ4;385;;;;;;;;3.8;11;InStock;;amazon
195949806315;Apple Products;;Apple iPhone 16 Pro Max (256 GB) - Titanio natural;B0DGJ9GGL1;1147;;;;Amazon Segunda mano;;;;4.5;1292;InStock;Friday, 12 December;amazon
4242006284213;Large Appliances;;Balay 3BF267EX - Extractor Hoods, Integration Module, 52 cm, Stainless Steel;B07JMXMXCS;405;311.0;311.0;;;-23%;;;4.1;20;InStock;Saturday, 13 December;amazon
10942221715;;;Nespresso Intenso Krups Essenza Mini XN1108 – Capsule Coffee Maker 19 Bar, 2 Coffee Programs, Ultra Compact Size and Auto Shut-off Function, Black;B06XJ4G828;119.99;88.9;88.9;;✅  Cia&Co  ✔️;-26%;;;4.4;14547;InStock;Wednesday, 10 December;amazon
637902517680;;;The Glitch Hunters: A Sci-Fi Artificial Intelligence Adventure in Clear British English (B1 Level);B0DZ11248C;11;;;;;;;;5.0;9;InStock;Thursday, 11 December;amazon
195949822070;Apple Products;;Apple iPhone 16 (128 GB) - Blanco;B0DGJFQ37D;859;804.0;804.0;;COOLPHONE - MADRID;-6%;;;4.4;1757;InStock;17 - 18 December;amazon
8435484018043;;;Cecotec Cafetera superautomática Táctil Cremmaet Spin. 1450W, 15 Bares, Pantalla TFT, Sistema Thermoblock, Limpieza Automática, Depósito de 290g de Café en Grano, 1,5L de Agua y 600ml de Leche;B0BQ1M3QYV;433;433.99;433.99;;;;;;3.5;32;InStock;Thursday, 11 December;amazon
8435430624892;;;NGS Fog Pro Blue – Optical Wireless Mouse 1000 dpi, Nano USB Interface, 2 Silent Buttons and Scroll Wheel, Plug and Play, Ambidextrous, Blue;B0D2DR2K31;6;6.99;6.99;;Tienda Oficial NGS;;;;4.3;4689;InStock;10 - 11 December;amazon
4242006289034;Large Appliances;;Balay - Induction hob, 60 cm, Zone 28 cm, Black, without stainless frame, 3EB865ERS;B08933RHZL;262;;;;;;;;4.4;1474;InStock;;amazon
6925281990144;;;JBL PartyBox 710 Wireless Bluetooth Speaker with Light Effects, Deep Bass, IPX4 Waterproof for Parties and Karaoke, USB, TWS, AUX, Microphone and Instrument Inputs, Black;B09B2KKZKV;799.99;719.1;;;;-10%;;;4.6;653;InStock;;amazon
8806096198261;;;LG VC5506NHTCR – Bagless Vacuum Cleaner 650W, Cyclonic Ellipse System, Telescopic Tube Vacuum, Power Regulation, 1.1L Reservoir, Special Pets + Floor Mats, Red;B0DGQW99X3;199;89.99;89.99;;;-55%;;;4.5;20;InStock;Thursday, 11 December;amazon
6941812707432;Sports & Outdoors;;Xiaomi Watch S4;B0DSJMB91W;159.99;99.0;99.0;;;-38%;;;4.4;1399;InStock;Thursday, 11 December;amazon
45496453442;;;Nintendo Switch (versión OLED) Azul Neón/Rojo Neón;B098BYN3X3;317;317.99;317.99;;;;;;4.7;4602;InStock;Thursday, 11 December;amazon
6932554407063;;;"XIAOMI Redmi Note 14 Pro - Smartphone 8+256GB, 6.67"" AMOLED FHD+ 120Hz Display, MediaTek Helio G100-Ultra, 200MP Camera, TurboCharge 45W, 5500mAh, Charger Not Included, Purple (ES Version)";B0DPHN1435;185;185.3;185.3;;Mi.Techno;;;;4.4;566;InStock;12 - 15 December;amazon
8806091960320;;;LG S40T - Smart Soundbar, 300W, 2.1 Channel, Dolby Digital and DTS Surround Soundbar, Wide Connectivity, HDMI, Bluetooth, USB, Optical Input, Black;B0CY5N3F4G;199;118.89;118.89;;;-40%;;;4.4;1998;InStock;22 December - 10 January;amazon
8053636568705;;;The White Stone Memory Foam Mattress 150 x 205 with Medium Firmness | Height 22 cm | Orthopaedic and Self-Modeling Properties | Hypoallergenic and Breathable Fabric | Made in Italy;B0DC6N95SM;349;349.9;349.9;;The White Stone;;;;4.3;1481;InStock;16 - 18 December;amazon
4242005039067;Large Appliances;;Bosch - Built-in microwave, 60 cm, 8 automatic programs, 25 liters, Grill, Black, BEL554MB0;B075NYR41M;264;;;;Amazon Segunda mano;;;;4.4;562;InStock;Saturday, 20 December;amazon
6925281947100;;;JBL Wave Beam Wireless In-Ear Headphones, IP54 and IPX2, Hands-Free and 32 Hours Battery Life, Black;B0BHTJLFVP;79.99;45.99;45.99;;TechWorldHaven;-43%;;;3.8;8157;InStock;Monday, 8 December;amazon
4548736146129;;;Sony Bluetooth Speaker SRS-XB100, Lightweight, Compact, IP67 Waterproof and Dustproof Speaker, Up to 16 h Battery, Adjustable Strap, Black;B0CCYFP62W;39;39.5;39.5;;;;;;4.5;3722;InStock;Wednesday, 10 December;amazon
195949037252;;;JETech Screen Protector for iPhone 16e 2025, iPhone 13/13 Pro 6.1 Inch, Tempered Glass, Pack of 3;B09BNL9TGB;7;7.99;7.99;;MuXiaoJun Store;;;;4.5;524864;InStock;Monday, 8 December;amazon
6974434222175;;;Nothing Ear Wireless Bluetooth Headphones with ChatGPT Integration, Hi-Res Audio, Intelligent Active Noise Cancellation, Advanced Equalizer and up to 40.5 Hours Playtime - Black;B0CXPQKHR3;149;89.0;89.0;;;-40%;;;4.5;9373;InStock;Thursday, 11 December;amazon
6941812789032;;;XIAOMI 14T Pro Smartphone 12+512GB, Leica Summilux Lenses, MediaTek Dimensity 9300+, AMOLED 6.67'' 144Hz Display, HyperCharge 120W, Titanium Grey (ES Version);B0DJ34HJZG;536;536.25;536.25;;BigAma;;;;4.5;294;InStock;18 - 22 December;amazon
6921727073235;Large Appliances;;Hisense RB372N4AWE – Combi Refrigerator, Efficient Class E, Capacity 292 L with 180 cm High, Vegetable Drawer, 4 Stars Freezer, Reversible Door, Silent 39dB, White;B0BXDPCWM2;429;;;;;;;;3.7;368;InStock;;amazon
