country,currency,supermarket,id,ean,name,brand,category,url,image_links
ES,EUR,EROSKI-MARKETPLACE,26885657,8431305034179,"Accesorio para nintendo Switch 2, deluxe travel case BLACKFIRE",BLACKFIRE,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26885657-accesorio-para-nintendo-switch-2-deluxe-travel-case-blackfire/,https://supermercado.eroski.es/images/26885657_x.jpg
ES,EUR,EROSKI-MARKETPLACE,26885657,8431305034179,"Accesorio para nintendo Switch 2, deluxe travel case BLACKFIRE",BLACKFIRE,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26885657-accesorio-para-nintendo-switch-2-deluxe-travel-case-blackfire/,https://supermercado.eroski.es/images/26885657_2_x.jpg
ES,EUR,EROSKI-MARKETPLACE,26885657,8431305034179,"Accesorio para nintendo Switch 2, deluxe travel case BLACKFIRE",BLACKFIRE,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26885657-accesorio-para-nintendo-switch-2-deluxe-travel-case-blackfire/,https://supermercado.eroski.es/images/26885657_3_x.jpg
ES,EUR,EROSKI-MARKETPLACE,26885657,8431305034179,"Accesorio para nintendo Switch 2, deluxe travel case BLACKFIRE",BLACKFIRE,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26885657-accesorio-para-nintendo-switch-2-deluxe-travel-case-blackfire/,https://supermercado.eroski.es/images/26885657_4_x.jpg
ES,EUR,EROSKI-MARKETPLACE,mp12018,5055277036912,Atlus Persona 5 Royal Estándar PlayStation 4,ATLUS,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12018-atlus-persona-5-royal-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12018_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12018,5055277036912,Atlus Persona 5 Royal Estándar PlayStation 4,ATLUS,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12018-atlus-persona-5-royal-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12018_2_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12018,5055277036912,Atlus Persona 5 Royal Estándar PlayStation 4,ATLUS,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12018-atlus-persona-5-royal-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12018_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12018,5055277036912,Atlus Persona 5 Royal Estándar PlayStation 4,ATLUS,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12018-atlus-persona-5-royal-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12018_4_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12018,5055277036912,Atlus Persona 5 Royal Estándar PlayStation 4,ATLUS,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12018-atlus-persona-5-royal-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12018_5_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12018,5055277036912,Atlus Persona 5 Royal Estándar PlayStation 4,ATLUS,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12018-atlus-persona-5-royal-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12018_6_x.webp
